,,,Common Name,Molecular Formula,Molecular Weight (average),Monoisotopic Mass,CAS # (without dashes),Classification 1,Classification 2,"M7412AA = CF, 40-min Method RT","RI (M7412AA = CF, 40-min)","M7411AA = CP, 40-min Method RT","RI (M7411AA = CF, 40-min)","M7412AA = CF, 20-min Method RT","RI (M7412AA = CF, 20-min)","M7414AA = CF, 5x15 Method RT",User Field,Formal CAS #,Common Name,Method RT,ISTD,Precursor Ion,MS1 Resolution,Product Ion,MS2 Resolution,Dwell Time (ms),CE (V),Left RT Delta,Right RT Delta,RT Window,Response Scaled within the Database,Relative Intensity of Transitions,Quant (Q0) and Qual,Target Compounds,Chinese Name,China GB Method Group,Japanese Name,,Synonym(s),,,,,
0-1,0,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,150.0,Wide,115.0,Wide,10,15,0.1,0.1,0.1,689,100%,Q0,#N/A,,,,,,,,,,
1-1,1,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,150.0,Wide,78.0,Wide,10,30,0.1,0.1,0.1,439,64%,Q1,#N/A,,,,,,,,,,
2-1,2,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,115.0,Wide,78.0,Wide,10,10,0.1,0.1,0.1,387,56%,Q2,#N/A,,,,,,,,,,
3-1,3,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,152.0,Wide,78.0,Wide,10,30,0.1,0.1,0.1,281,41%,Q3,#N/A,,,,Q3,,,,,,
4-1,4,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,152.0,Wide,115.0,Wide,10,15,0.1,0.1,0.1,227,33%,Q4,#N/A,,,,Q4,,,,,,
5-1,5,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,115.0,Wide,76.0,Wide,10,35,0.1,0.1,0.1,116,17%,Q5,#N/A,,,,Q5,,,,,,
6-1,6,1,"1,4-Dichlorobenzene-d4",C6D4Cl2,151.0,149.9941,3855821,Deuterated ,SemiVOC,3.862,1021,3.808,1016,3.626,1025,3.155,,3855-82-1,"1,4-Dichlorobenzene-d4",3.626,false,154.0,Wide,117.0,Wide,10,15,0.1,0.1,0.1,70,10%,Q6,#N/A,,,,Q6,,,,,,
0-2,0,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,141.0,Wide,115.0,Wide,10,25,0.1,0.1,0.1,4886,100%,Q0,#N/A,,,,Q0,,,,,,
1-2,1,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,141.0,Wide,62.9,Wide,10,40,0.1,0.1,0.1,646,13%,Q1,#N/A,,,,Q1,,,,,,
2-2,2,2,1-Naphthylacetic acid,C12H10O2,186.2,186.0681,86873,Plant growth regulator,Botanical,16.166,,14.002,,8.286,,7.473,,86-87-3,1-Naphthylacetic acid,8.286,false,115.0,Wide,63.0,Wide,10,35,0.1,0.1,0.1,602,12%,Q2,#N/A,,,,Q2,,,,,,
